,Suburb_id,Suburb,Postcode,LGA,City,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
101,101,Campbelltown,2560,City of Campbelltown ,Sydney,Pub,Ice Cream Shop,Pizza Place,Fast Food Restaurant,Pet Store,Asian Restaurant,Bakery,,,
102,102,Camperdown,2050,"City of Sydney, Inner West Council",Sydney,Café,Convenience Store,Gym / Fitness Center,Furniture / Home Store,Fast Food Restaurant,Brewery,Thai Restaurant,Liquor Store,Climbing Gym,Gastropub
103,103,Campsie,2194,Canterbury-Bankstown Council,Sydney,Malay Restaurant,Chinese Restaurant,Japanese Restaurant,Vietnamese Restaurant,Playground,Shopping Mall,Liquor Store,Fast Food Restaurant,Café,Pizza Place
104,104,Canada Bay,2046,City of Canada Bay,Sydney,Café,Brewery,Furniture / Home Store,Paper / Office Supplies Store,Football Stadium,Bakery,Gym,Playground,Bus Station,
105,105,Canley Heights,2166,City of Fairfield,Sydney,Vietnamese Restaurant,Steakhouse,Café,Korean Restaurant,Bar,Grocery Store,Thai Restaurant,Middle Eastern Restaurant,Vegetarian / Vegan Restaurant,Tapas Restaurant
106,106,Canley Vale,2166,City of Fairfield,Sydney,Vietnamese Restaurant,Chinese Restaurant,Café,Platform,BBQ Joint,Pizza Place,Restaurant,Bubble Tea Shop,Dessert Shop,Train Station
107,107,Canoelands,2157,"The Hills Shire, Hornsby Shire",Sydney,Farm,,,,,,,,,
108,108,Canterbury,2193,Canterbury-Bankstown Council,Sydney,Supermarket,Café,Park,Japanese Restaurant,Spa,Platform,Fast Food Restaurant,Camera Store,Pool,Liquor Store
109,109,Caringbah South,2229,Sutherland Shire,Sydney,Seafood Restaurant,Café,,,,,,,,
110,110,Carlingford,2118,City of Parramatta,Sydney,,,,,,,,,,
111,111,Carlton,2218,"Georges River Council, Bayside Council",Sydney,Platform,Japanese Restaurant,Gym,Pet Store,Seafood Restaurant,Dessert Shop,Train Station,,,
